HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Group,GroupNum,FirstName,LastName,Deck,Num,Split
Europa,False,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,False,0001,01,maham,ofracculy,B,0,P
Earth,False,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,True,0002,01,juanna,vines,F,0,S
Europa,False,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,False,0003,01,altark,susent,A,0,S
Europa,False,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,False,0003,02,solam,susent,A,0,S
Earth,False,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,True,0004,01,willy,santantines,F,1,S
Earth,False,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,True,0005,01,sandie,hinetthews,F,0,P
Earth,False,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,True,0006,01,billex,jacostaffey,F,2,S
Earth,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,True,0006,02,candra,jacostaffey,G,0,S
Earth,False,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,True,0007,01,andona,beston,F,3,S
Europa,True,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,True,0008,01,erraiam,flatic,B,1,P
Europa,True,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,True,0008,02,altardr,flatic,B,1,P
Europa,False,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,True,0008,03,wezena,flatic,B,1,P
Mars,False,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,True,0009,01,berers,barne,F,1,P
Earth,False,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,False,0010,01,reney,baketton,G,1,S
Earth,False,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,True,0011,01,elle,bertsontry,F,2,P
Earth,False,TRAPPIST-1e,31.0,False,32.0,0.0,876.0,0.0,0.0,False,0012,01,justie,pooles,,,
Mars,False,55 Cancri e,27.0,False,1286.0,122.0,,0.0,0.0,False,0014,01,flats,eccle,F,3,P
Earth,False,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,False,0015,01,carry,hughriend,F,4,P
Mars,True,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,True,0016,01,alus,upead,F,5,P
Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True,0017,01,lyde,brighttt,G,0,P
Earth,False,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,False,0017,02,philda,brighttt,F,6,P
Earth,True,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,False,0020,01,almary,brantuarez,E,0,S
Earth,True,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,False,0020,02,glendy,brantuarez,E,0,S
Earth,True,55 Cancri e,29.0,False,0.0,0.0,0.0,0.0,0.0,False,0020,03,mollen,mcfaddennon,E,0,S
Earth,False,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,True,0020,04,breney,jacostanley,E,0,S
Earth,True,PSO J318.5-22,1.0,False,0.0,0.0,0.0,0.0,0.0,False,0020,05,mael,brantuarez,E,0,S
Earth,False,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,False,0020,06,terta,mcfaddennon,E,0,S
Mars,False,TRAPPIST-1e,21.0,False,980.0,2.0,69.0,0.0,0.0,False,0022,01,,,D,0,P
Europa,True,TRAPPIST-1e,62.0,False,0.0,0.0,0.0,0.0,0.0,True,0024,01,penton,fullided,C,2,S
Earth,False,TRAPPIST-1e,15.0,False,0.0,225.0,0.0,998.0,0.0,False,0025,01,karard,brookenson,F,6,S
Europa,False,55 Cancri e,34.0,False,22.0,6073.0,0.0,1438.0,328.0,False,0026,01,anyoni,unconary,C,0,P
Mars,False,TRAPPIST-1e,43.0,False,1125.0,0.0,136.0,48.0,0.0,False,0028,01,ceros,mare,F,8,P
Earth,False,TRAPPIST-1e,32.0,False,0.0,850.0,81.0,437.0,453.0,False,0030,01,ginia,morsentley,G,4,S
